Rk,G,Date,Age,Tm,,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
63,58,06/03/2016,34-049,MIA,,PHI,1,31:09:00,5,15,0.333,0,0,,13,14,0.929,0,3,3,3,2,0,1,2,23,17.3,22
64,59,09/03/2016,34-052,MIA,@,MIL,1,33:55:00,6,14,0.429,0,1,0,6,6,1,0,3,3,6,2,0,6,5,18,9.7,-7
65,60,11/03/2016,34-054,MIA,@,CHI,1,30:59:00,3,15,0.2,0,0,,3,4,0.75,2,5,7,5,0,2,2,0,9,5.1,2
66,,12/03/2016,34-055,MIA,@,TOR,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
67,61,14/03/2016,34-057,MIA,,DEN,1,30:36:00,7,15,0.467,0,0,,5,7,0.714,0,2,2,5,2,1,5,1,19,11.9,-6
68,62,17/03/2016,34-060,MIA,,CHO,1,30:57:00,3,13,0.231,0,1,0,5,6,0.833,0,3,3,3,0,2,3,1,11,3.7,-16
69,63,19/03/2016,34-062,MIA,,CLE,1,28:24:00,10,17,0.588,0,0,,4,4,1,2,2,4,4,1,0,2,1,24,19.5,28
70,64,22/03/2016,34-065,MIA,@,NOP,1,31:12:00,10,21,0.476,0,0,,5,6,0.833,2,5,7,3,1,0,1,3,25,17.7,11
71,65,23/03/2016,34-066,MIA,@,SAS,1,24:38:00,8,13,0.615,0,0,,0,1,0,1,4,5,3,0,1,3,0,16,11.4,-23
72,66,25/03/2016,34-068,MIA,,ORL,1,25:21:00,2,9,0.222,0,1,0,7,8,0.875,0,3,3,4,1,1,0,1,11,10.1,6
73,67,28/03/2016,34-071,MIA,,BRK,1,31:32:00,14,19,0.737,0,1,0,2,2,1,0,2,2,9,2,2,4,3,30,27.4,9
74,68,30/03/2016,34-073,MIA,@,LAL,1,38:35:00,12,21,0.571,0,0,,2,2,1,2,8,10,5,0,2,4,2,26,20,13
75,,01/04/2016,34-075,MIA,@,SAC,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
76,,02/04/2016,34-076,MIA,@,POR,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
77,69,05/04/2016,34-079,MIA,,DET,1,24:33:00,5,10,0.5,0,0,,6,7,0.857,0,1,1,2,2,0,2,1,16,11.9,10
78,70,07/04/2016,34-081,MIA,,CHI,1,32:56:00,9,18,0.5,0,0,,3,3,1,2,3,5,4,1,0,4,1,21,13.7,15
79,71,08/04/2016,34-082,MIA,@,ORL,1,31:27:00,7,19,0.368,0,3,0,3,4,0.75,1,0,1,5,1,0,3,1,17,7.9,-7
80,72,10/04/2016,34-084,MIA,,ORL,1,23:56,7,9,0.778,0,0,,3,3,1,0,3,3,3,3,0,1,1,17,18.1,8
81,73,12/04/2016,34-086,MIA,@,DET,1,33:39:00,6,16,0.375,0,1,0,2,3,0.667,0,4,4,3,0,0,1,2,14,6.3,-4
82,74,13/04/2016,34-087,MIA,@,BOS,1,31:03:00,7,16,0.438,0,1,0,3,3,1,0,3,3,5,0,1,3,2,17,9.9,-21
1,1,27/10/2016,34-284,CHI,,BOS,1,32:25:00,7,18,0.389,4,6,0.667,4,4,1,2,4,6,5,0,1,3,4,22,14.4,15
2,2,29/10/2016,34-286,CHI,,IND,1,21:04,4,7,0.571,0,0,,6,6,1,2,3,5,2,2,0,0,1,14,16,16
3,3,31/10/2016,34-288,CHI,@,BRK,1,28:45:00,5,13,0.385,1,3,0.333,1,1,1,0,3,3,4,3,1,5,3,12,6.1,11
4,4,02/11/2016,34-290,CHI,@,BOS,1,35:19:00,5,13,0.385,0,3,0,5,6,0.833,0,1,1,4,2,0,0,0,15,12.6,-10
5,5,04/11/2016,34-292,CHI,,NYK,1,33:20:00,12,20,0.6,5,7,0.714,6,8,0.75,2,8,10,1,0,0,3,3,35,25.3,-23
6,6,05/11/2016,34-293,CHI,@,IND,1,21:35,1,9,0.111,0,2,0,2,2,1,0,1,1,0,1,0,2,2,4,-3.4,-13
7,7,07/11/2016,34-295,CHI,,ORL,1,24:58:00,7,12,0.583,0,2,0,2,2,1,1,2,3,4,2,2,1,3,16,15.7,21
8,8,09/11/2016,34-297,CHI,@,ATL,1,33:58:00,10,17,0.588,2,5,0.4,3,4,0.75,2,1,3,3,5,0,3,1,25,22.1,-6
9,9,10/11/2016,34-298,CHI,@,MIA,1,32:24:00,5,17,0.294,0,4,0,3,3,1,1,6,7,4,1,0,3,1,13,6,7
10,10,12/11/2016,34-300,CHI,,WAS,1,29:49:00,5,17,0.294,0,2,0,4,4,1,2,0,2,2,1,1,2,2,14,5.8,1
11,11,15/11/2016,34-303,CHI,@,POR,1,31:03:00,8,18,0.444,0,0,,3,5,0.6,2,3,5,5,2,0,1,2,19,14.8,19
12,12,17/11/2016,34-305,CHI,@,UTA,1,33:08:00,7,17,0.412,0,2,0,4,4,1,1,1,2,1,0,1,1,2,18,9.5,14
13,13,19/11/2016,34-307,CHI,@,LAC,1,35:48:00,9,20,0.45,5,9,0.556,5,6,0.833,3,6,9,3,1,2,3,2,28,21.8,-2
14,,20/11/2016,34-308,CHI,@,LAL,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
